1  , 12.00
2  , 10.93 
3  , 3.28  
4  , 1.32  
5  , 2.81  
6  , 8.39  
7  , 7.86  
8  , 8.73  
9  , 4.44  
10 , 8.05  
11 , 6.29  
12 , 7.54  
13 , 6.46  
14 , 7.53  
15 , 5.45  
16 , 7.16  
17 , 5.25  
18 , 6.50  
19 , 5.11  
20 , 6.31  
21 , 3.07  
22 , 4.93  
23 , 3.99  
24 , 5.65  
25 , 5.50  
26 , 7.46  
27 , 4.90  
28 , 6.22  
29 , 4.27  
30 , 4.65  
31 , 3.10  
32 , 3.59  
33 , 2.32  
34 , 3.36  
35 , 2.56  
36 , 3.28  
37 , 2.38  
38 , 2.90  
39 , 2.20  
40 , 2.57  
41 , 1.42  
42 , 1.94  
44 , 1.78  
45 , 1.10  
46 , 1.67  
47 , 1.22  
48 , 1.73  
49 , 0.78  
50 , 2.09  
51 , 1.03  
52 , 2.20  
53 , 1.57  
54 , 2.27  
55 , 1.10  
56 , 2.18  
57 , 1.19  
58 , 1.60  
59 , 0.77  
60 , 1.47  
62 , 0.96  
63 , 0.53  
64 , 1.09  
65 , 0.34  
66 , 1.14  
67 , 0.49  
68 , 0.95  
69 , 0.14  
70 , 0.94  
71 , 0.11  
72 , 0.73  
73 , -0.14 
74 , 0.67  
75 , 0.28  
76 , 1.37  
77 , 1.36  
78 , 1.64  
79 , 0.82  
80 , 1.19  
81 , 0.79  
82 , 2.06  
83 , 0.67  
90 , 0.08  
92 , -0.52 
