1,12
2,10.992
3,3.39
4,1.46
5,2.9
6,8.6
7,8.03
8,8.85
9,4.75
10,8.24
11,6.39
12,7.66
13,6.55
14,7.64
15,5.56
16,7.27
17,5.37
18,6.59
19,5.2
20,6.42
21,3.17
22,5.03
23,4.08
24,5.76
25,5.61
26,7.58
27,5
28,6.34
29,4.38
30,4.74
31,3.2
32,3.72
33,2.43
34,3.49
35,2.73
36,3.4
37,2.49
38,3.02
39,2.29
40,2.66
41,1.52
42,2.05
44,1.89
45,1.17
46,1.78
47,1.34
48,1.84
49,0.89
50,2.21
51,1.17
52,2.32
53,1.84
54,2.39
55,1.2
56,2.3
57,1.31
58,1.71
59,0.89
60,1.58
62,1.08
63,0.66
64,1.19
65,0.44
66,1.26
67,0.6
68,1.06
69,0.25
70,1.05
71,0.22
72,0.84
73,-0.02
74,0.8
75,0.41
76,1.47
77,1.44
78,1.73
79,0.94
80,1.22
81,0.9
82,2.16
83,0.79
90,0.27
92,0.02
